boot\<0\> X,boot\<0\> Y,boot\<1\> X,boot\<1\> Y,charge\<0\> X,charge\<0\> Y,charge\<1\> X,charge\<1\> Y
0,0,0,0,0,1.1,0,1.1
5.002500004545455e-10,0,5.002500004545455e-10,0,5.002500004545455e-10,1.1,5.002500004545455e-10,1.1
5.012145714826228e-10,0,5.012145714826228e-10,0.001061028130884933,5.012145714826228e-10,1.1,5.012145714826228e-10,1.098938971869115
5.019204263041175e-10,0,5.019204263041175e-10,0.001837468434529255,5.019204263041175e-10,1.1,5.019204263041175e-10,1.098162531565471
5.033321359471071e-10,0,5.033321359471071e-10,0.003390349041817675,5.033321359471071e-10,1.1,5.033321359471071e-10,1.096609650958182
5.047052079714399e-10,0,5.047052079714399e-10,0.004900728268583787,5.047052079714399e-10,1.1,5.047052079714399e-10,1.095099271731416
5.066413891864708e-10,0,5.066413891864708e-10,0.007030527605117909,5.066413891864708e-10,1.1,5.066413891864708e-10,1.092969472394882
5.087445503746344e-10,0,5.087445503746344e-10,0.009344004912097637,5.087445503746344e-10,1.1,5.087445503746344e-10,1.090655995087902
5.108742360772235e-10,0,5.108742360772235e-10,0.01168665918494582,5.108742360772235e-10,1.1,5.108742360772235e-10,1.088313340815054
5.129563988255207e-10,0,5.129563988255207e-10,0.01397703820807283,5.129563988255207e-10,1.1,5.129563988255207e-10,1.086022961791927
5.151406251168261e-10,0,5.151406251168261e-10,0.01637968712850846,5.151406251168261e-10,1.1,5.151406251168261e-10,1.083620312871492
5.175530270656655e-10,0,5.175530270656655e-10,0.019033329272232,5.175530270656655e-10,1.1,5.175530270656655e-10,1.080966670727768
5.203286564101838e-10,0,5.203286564101838e-10,0.02208652155120228,5.203286564101838e-10,1.1,5.203286564101838e-10,1.077913478448798
5.236326284175254e-10,0,5.236326284175254e-10,0.02572089075927808,5.236326284175254e-10,1.1,5.236326284175254e-10,1.074279109240722
5.276694176781222e-10,0,5.276694176781222e-10,0.03016135894593441,5.276694176781222e-10,1.1,5.276694176781222e-10,1.069838641054066
5.327345294307559e-10,0,5.327345294307559e-10,0.03573298187383145,5.327345294307559e-10,1.1,5.327345294307559e-10,1.064267018126169
5.393148511284364e-10,0,5.393148511284364e-10,0.0429713357412802,5.393148511284364e-10,1.1,5.393148511284364e-10,1.05702866425872
5.483170589528042e-10,0,5.483170589528042e-10,0.05287376434808455,5.483170589528042e-10,1.1,5.483170589528042e-10,1.047126235651916
5.616855857853226e-10,0,5.616855857853226e-10,0.06757914386385488,5.616855857853226e-10,1.1,5.616855857853226e-10,1.032420856136145
5.846333321550607e-10,0,5.846333321550607e-10,0.09282166487056687,5.846333321550607e-10,1.1,5.846333321550607e-10,1.007178335129433
6.136445564670175e-10,0,6.136445564670175e-10,0.1247340116137193,6.136445564670175e-10,1.1,6.136445564670175e-10,0.9752659883862808
6.443748775493566e-10,0,6.443748775493566e-10,0.1585373648042923,6.443748775493566e-10,1.1,6.443748775493566e-10,0.9414626351957078
6.778652161808097e-10,0,6.778652161808097e-10,0.1953767372988906,6.778652161808097e-10,1.1,6.778652161808097e-10,0.9046232627011095
6.905199624318955e-10,0,6.905199624318955e-10,0.2092969581750851,6.905199624318955e-10,1.1,6.905199624318955e-10,0.890703041824915
7.036758164139963e-10,0,7.036758164139963e-10,0.2237683975553959,7.036758164139963e-10,1.1,7.036758164139963e-10,0.8762316024446042
7.154232733701106e-10,0,7.154232733701106e-10,0.2366906002071216,7.154232733701106e-10,1.1,7.154232733701106e-10,0.8633093997928785
7.242872755188348e-10,0,7.242872755188348e-10,0.2464410025707183,7.242872755188348e-10,1.1,7.242872755188348e-10,0.8535589974292818
7.319556638373987e-10,0,7.319556638373987e-10,0.2548762297211387,7.319556638373987e-10,1.1,7.319556638373987e-10,0.8451237702788614
7.389906896935515e-10,0,7.389906896935515e-10,0.2626147581629067,7.389906896935515e-10,1.1,7.389906896935515e-10,0.8373852418370934
7.456790532885628e-10,0,7.456790532885628e-10,0.269971958117419,7.456790532885628e-10,1.1,7.456790532885628e-10,0.8300280418825811
7.5230576657242e-10,0,7.5230576657242e-10,0.277261342729662,7.5230576657242e-10,1.1,7.5230576657242e-10,0.8227386572703381
7.590021268782639e-10,0,7.590021268782639e-10,0.2846273390660904,7.590021268782639e-10,1.1,7.590021268782639e-10,0.8153726609339097
7.655412962939199e-10,0,7.655412962939199e-10,0.2918204254233119,7.655412962939199e-10,1.1,7.655412962939199e-10,0.8081795745766882
7.726244115856249e-10,0,7.726244115856249e-10,0.2996118522441873,7.726244115856249e-10,1.1,7.726244115856249e-10,0.8003881477558128
7.80406483079632e-10,0,7.80406483079632e-10,0.3081721308875952,7.80406483079632e-10,1.1,7.80406483079632e-10,0.7918278691124049
7.87666007343403e-10,0,7.87666007343403e-10,0.3161576075777434,7.87666007343403e-10,1.1,7.87666007343403e-10,0.7838423924222567
