vOut_dc X,vOut_dc Y,iQ X,iQ Y,vCtrl X,vCtrl Y
0.0000001,1.00080689709448,0.0000001,1.38555389489016E-05,0.0000001,1.0932694792378
0.0000001264855,1.00079965383655,0.0000001264855,1.38506251017071E-05,0.0000001264855,1.094141734783
0.0000001599859,1.00079075996119,0.0000001599859,1.38445737744855E-05,0.0000001599859,1.09521624837344
0.000000202359,1.00077993406864,0.000000202359,1.38371661765662E-05,0.000000202359,1.09653200571293
0.0000002559548,1.00076679296614,0.0000002559548,1.38281640689233E-05,0.0000002559548,1.09813166568655
0.0000003237458,1.00075096792289,0.0000003237458,1.38173154166523E-05,0.0000003237458,1.10006040574919
0.0000004094915,1.00073203454676,0.0000004094915,1.38043667473695E-05,0.0000004094915,1.10236382153718
0.0000005179475,1.00070952495287,0.0000005179475,1.37890790761622E-05,0.0000005179475,1.10508528820132
0.0000006551286,1.00068283871202,0.0000006551286,1.37712443114835E-05,0.0000006551286,1.10826271850063
0.0000008286428,1.00065138070505,0.0000008286428,1.37507031896163E-05,0.0000008286428,1.11192568939241
0.000001048113,1.00061415954335,0.000001048113,1.3727354431575E-05,0.000001048113,1.11609227618961
0.000001325711,1.00056976259519,0.000001325711,1.37011752989195E-05,0.000001325711,1.12076696218061
0.000001676833,1.00051782249166,0.000001676833,1.36722173243741E-05,0.000001676833,1.12594232510686
0.000002120951,1.00045671056823,0.000002120951,1.36405869643999E-05,0.000002120951,1.13159704094542
0.000002682696,1.00038635159094,0.000002682696,1.36064479776702E-05,0.000002682696,1.13770109286606
0.000003393222,1.00030661260672,0.000003393222,1.35700068568958E-05,0.000003393222,1.14421672320045
0.000004291934,1.00022190005144,0.000004291934,1.35314537989743E-05,0.000004291934,1.15110699666287
0.000005428675,1.00012786587408,0.000005428675,1.34910845499485E-05,0.000005428675,1.15832363249781
0.000006866488,1.00003107190745,0.000006866488,1.34490771772371E-05,0.000006866488,1.16583225900112
0.000008685114,0.999931289698127,0.000008685114,1.34056599976387E-05,0.000008685114,1.1735945071572
0.00001098541,0.999829370789002,0.00001098541,1.33610186172663E-05,0.00001098541,1.18157806043696
0.00001389495,0.999725645371171,0.00001389495,1.33153172675714E-05,0.00001389495,1.18975532030529
0.00001757511,0.999619996295533,0.00001757511,1.32686833716158E-05,0.00001757511,1.1981036818971
0.00002222996,0.999513420484975,0.00002222996,1.32212035836812E-05,0.00002222996,1.20660720795814
0.00002811769,0.999405464252754,0.00002811769,1.31729528609428E-05,0.00002811769,1.21525333380442
0.0000355648,0.999296323553488,0.0000355648,1.31239641118608E-05,0.0000355648,1.2240350393608
0.00004498433,0.999185677339198,0.00004498433,1.30742517873364E-05,0.00004498433,1.23294912868307
0.00005689866,0.999073960141516,0.00005689866,1.30238197754278E-05,0.00005689866,1.24199745514639
0.00007196857,0.99896013585512,0.00007196857,1.29726126881711E-05,0.00007196857,1.25118403977142
0.00009102982,0.998844894146985,0.00009102982,1.2920579775048E-05,0.00009102982,1.26051869518522
0.0001151395,0.998727794070652,0.0001151395,1.28676556418274E-05,0.0001151395,1.27001346063616
0.0001456348,0.99860719444488,0.0001456348,1.28137707786749E-05,0.0001456348,1.27968241310634
0.000184207,0.998485439011308,0.000184207,1.27587703378617E-05,0.000184207,1.28954783063645
0.0002329952,0.998360458486063,0.0002329952,1.27025326715185E-05,0.0002329952,1.29962995853351
0.0002947052,0.998230387072197,0.0002947052,1.26448861364457E-05,0.0002947052,1.30995337965564
0.0003727594,0.998098485862014,0.0003727594,1.25857011184735E-05,0.0003727594,1.32054902735839
0.0004714866,0.997962900819144,0.0004714866,1.25247521359931E-05,0.0004714866,1.33144843885875
0.0005963623,0.997823012042858,0.0005963623,1.24618204065306E-05,0.0005963623,1.34268600550954
0.000754312,0.997677286820349,0.000754312,1.23967028510581E-05,0.000754312,1.35429900088163
0.0009540955,0.997523062664431,0.0009540955,1.23290825238989E-05,0.0009540955,1.36632639751132
0.001206793,0.997364744948417,0.001206793,1.2258711199347E-05,0.001206793,1.37882025187273
0.001526418,0.997197933747626,0.001526418,1.21852170995557E-05,0.001526418,1.39182714105847
0.001930698,0.997024035376014,0.001930698,1.21081761273752E-05,0.001930698,1.40540745979301
0.002442053,0.996843454385961,0.002442053,1.20270958948269E-05,0.002442053,1.41962853115594
0.003088844,0.996647374922864,0.003088844,1.19415216067809E-05,0.003088844,1.4345575384077
0.00390694,0.996442156066114,0.00390694,1.18506303959596E-05,0.00390694,1.45029492364585
0.004941713,0.996226465100626,0.004941713,1.17535266462218E-05,0.004941713,1.46695091147232
0.006250552,0.995994145882949,0.006250552,1.16490987599263E-05,0.006250552,1.4846554855054
0.007906043,0.99574201353136,0.007906043,1.15357696044046E-05,0.007906043,1.50357697237747
0.01,0.995462445952825,0.01,1.14113564045298E-05,0.01,1.52392564421145
